ID,Name,StudyHours,Attendance,Marks
2,Student_2,9.6,61,60.0
3,Student_3,7.6,65,80.2
4,Student_4,6.4,73,99.6
5,Student_5,2.4,68,79.7
6,Student_6,2.4,57,73.5
8,Student_8,8.8,70,67.9
9,Student_9,6.4,66,43.6
10,Student_10,7.4,72,73.7
12,Student_12,9.7,65,50.5
13,Student_13,8.5,55,70.3
14,Student_14,2.9,57,52.1
15,Student_15,2.6,74,72.1
16,Student_16,2.7,67,45.8
17,Student_17,3.7,74,67.0
18,Student_18,5.7,61,85.4
19,Student_19,4.9,64,60.9
26,Student_26,8.1,59,99.5
27,Student_27,2.8,65,95.6
28,Student_28,5.6,56,72.4
29,Student_29,6.3,66,90.5
30,Student_30,1.4,72,71.3
32,Student_32,2.5,70,45.3
33,Student_33,1.6,71,85.3
34,Student_34,9.5,56,47.7
35,Student_35,9.7,63,89.6
36,Student_36,8.3,64,86.9
37,Student_37,3.7,56,82.5
38,Student_38,1.9,58,42.2
41,Student_41,2.1,57,61.6
43,Student_43,1.3,72,96.2
45,Student_45,3.3,67,58.3
50,Student_50,2.7,67,95.2
53,Student_53,9.5,66,91.1
54,Student_54,9.1,63,52.5
56,Student_56,9.3,73,47.0
61,Student_61,4.5,52,88.4
66,Student_66,5.9,72,50.4
69,Student_69,1.7,64,98.5
71,Student_71,8.0,53,89.3
73,Student_73,1.0,71,91.7
74,Student_74,8.3,74,95.4
75,Student_75,7.4,62,69.2
76,Student_76,7.6,67,76.4
78,Student_78,1.7,65,50.5
82,Student_82,6.6,51,62.1
87,Student_87,7.6,62,73.0
88,Student_88,6.7,62,97.9
89,Student_89,9.0,67,65.9
99,Student_99,1.2,65,43.7
102,Student_102,6.7,59,43.5
104,Student_104,5.6,74,43.5
106,Student_106,3.2,69,99.0
107,Student_107,4.7,54,54.4
108,Student_108,7.8,50,48.5
111,Student_111,3.6,52,46.1
113,Student_113,9.4,63,43.7
116,Student_116,8.8,53,88.8
117,Student_117,8.2,67,76.9
119,Student_119,9.0,74,77.4
121,Student_121,8.3,50,65.6
123,Student_123,3.9,64,93.2
124,Student_124,2.0,58,67.0
125,Student_125,3.1,64,51.7
127,Student_127,8.4,73,64.8
128,Student_128,8.7,53,89.7
129,Student_129,1.1,61,84.0
133,Student_133,2.1,55,68.9
136,Student_136,3.9,73,85.6
137,Student_137,5.7,60,70.3
138,Student_138,7.3,62,72.1
140,Student_140,9.7,74,40.7
141,Student_141,9.7,56,70.3
142,Student_142,3.3,53,98.6
143,Student_143,5.5,57,88.1
144,Student_144,3.7,69,97.6
149,Student_149,1.5,59,90.7
155,Student_155,9.9,52,68.6
156,Student_156,3.2,55,62.6
157,Student_157,7.0,54,70.3
158,Student_158,7.9,54,67.6
160,Student_160,7.6,72,93.5
162,Student_162,6.7,58,87.2
164,Student_164,5.8,69,81.3
169,Student_169,1.4,67,94.1
170,Student_170,6.3,66,67.7
171,Student_171,7.1,73,78.2
172,Student_172,1.1,52,79.6
176,Student_176,2.6,62,44.0
178,Student_178,4.5,74,49.0
179,Student_179,9.4,58,84.2
180,Student_180,2.2,53,70.7
181,Student_181,4.1,63,80.8
184,Student_184,8.9,60,83.0
