ID,Name,StudyHours,Attendance,Marks
2,Student_2,9.6,61,60.0
8,Student_8,8.8,70,67.9
12,Student_12,9.7,65,50.5
13,Student_13,8.5,55,70.3
26,Student_26,8.1,59,99.5
34,Student_34,9.5,56,47.7
35,Student_35,9.7,63,89.6
36,Student_36,8.3,64,86.9
44,Student_44,9.2,78,73.2
51,Student_51,9.7,91,69.8
53,Student_53,9.5,66,91.1
54,Student_54,9.1,63,52.5
56,Student_56,9.3,73,47.0
63,Student_63,8.5,92,58.3
68,Student_68,8.2,88,60.8
70,Student_70,9.9,98,78.5
74,Student_74,8.3,74,95.4
81,Student_81,8.8,93,48.8
89,Student_89,9.0,67,65.9
105,Student_105,9.2,88,81.7
113,Student_113,9.4,63,43.7
114,Student_114,8.3,79,70.6
116,Student_116,8.8,53,88.8
117,Student_117,8.2,67,76.9
119,Student_119,9.0,74,77.4
121,Student_121,8.3,50,65.6
122,Student_122,9.1,95,47.8
127,Student_127,8.4,73,64.8
128,Student_128,8.7,53,89.7
135,Student_135,9.5,95,55.6
140,Student_140,9.7,74,40.7
141,Student_141,9.7,56,70.3
151,Student_151,9.2,83,69.3
155,Student_155,9.9,52,68.6
166,Student_166,8.5,91,55.3
179,Student_179,9.4,58,84.2
183,Student_183,9.3,83,45.1
184,Student_184,8.9,60,83.0
187,Student_187,8.4,77,40.7
192,Student_192,9.1,83,61.0
193,Student_193,9.1,61,86.5
198,Student_198,9.1,74,70.3
199,Student_199,9.0,54,85.9
204,Student_204,9.1,87,57.7
220,Student_220,8.6,94,74.9
227,Student_227,9.8,89,53.5
229,Student_229,9.0,62,65.9
231,Student_231,8.2,82,76.8
241,Student_241,9.5,62,90.8
242,Student_242,9.6,92,95.1
243,Student_243,9.2,94,55.1
246,Student_246,9.4,85,90.5
248,Student_248,9.7,87,86.6
249,Student_249,9.7,56,79.4
250,Student_250,8.7,54,50.6
253,Student_253,8.7,100,96.2
257,Student_257,9.4,59,83.6
262,Student_262,9.9,80,84.0
265,Student_265,8.9,51,70.5
271,Student_271,8.3,51,85.7
272,Student_272,8.3,81,49.6
273,Student_273,8.8,62,67.7
274,Student_274,9.2,95,40.6
277,Student_277,8.2,90,99.5
280,Student_280,8.2,80,88.0
281,Student_281,9.0,83,52.2
293,Student_293,8.4,83,52.1
306,Student_306,9.8,76,63.5
309,Student_309,8.2,71,40.2
314,Student_314,9.7,75,75.3
315,Student_315,8.5,67,68.9
325,Student_325,9.6,78,89.5
337,Student_337,8.7,95,66.0
352,Student_352,8.7,96,74.3
359,Student_359,9.5,66,89.9
365,Student_365,9.5,65,65.8
367,Student_367,9.7,69,90.5
368,Student_368,9.1,55,51.2
377,Student_377,8.6,98,83.8
379,Student_379,8.3,73,49.5
384,Student_384,8.9,65,97.4
386,Student_386,8.2,57,43.4
390,Student_390,8.3,78,94.4
391,Student_391,9.9,57,55.0
396,Student_396,9.4,56,43.9
397,Student_397,8.7,52,69.3
402,Student_402,9.1,69,71.9
404,Student_404,8.4,64,60.8
406,Student_406,9.1,79,41.3
409,Student_409,9.1,66,73.6
412,Student_412,9.6,85,65.1
413,Student_413,9.6,58,55.6
421,Student_421,8.1,62,70.3
422,Student_422,8.1,66,76.5
428,Student_428,9.0,95,70.3
438,Student_438,8.4,90,67.5
442,Student_442,9.9,100,91.0
445,Student_445,8.3,66,64.7
446,Student_446,9.5,61,79.1
447,Student_447,9.9,95,72.7
454,Student_454,9.2,82,52.1
465,Student_465,9.7,79,67.1
468,Student_468,8.8,75,41.6
470,Student_470,9.7,88,67.8
472,Student_472,9.7,87,72.3
474,Student_474,9.0,75,46.3
476,Student_476,9.9,99,89.3
479,Student_479,9.7,91,97.9
486,Student_486,9.1,58,87.9
489,Student_489,9.6,88,72.0
490,Student_490,9.0,80,49.5
499,Student_499,9.8,69,52.1
500,Student_500,9.9,96,51.1
504,Student_504,8.3,65,66.4
507,Student_507,9.2,71,92.9
508,Student_508,8.4,75,88.2
509,Student_509,9.5,52,70.3
513,Student_513,9.4,60,80.1
514,Student_514,8.8,67,78.1
518,Student_518,8.3,62,49.7
519,Student_519,9.9,74,40.8
523,Student_523,9.7,95,70.3
524,Student_524,8.6,85,44.8
525,Student_525,8.5,94,83.9
530,Student_530,8.8,93,82.6
531,Student_531,8.3,67,58.9
532,Student_532,10.0,55,68.3
533,Student_533,10.0,67,89.3
536,Student_536,9.5,86,70.3
537,Student_537,8.6,81,89.7
541,Student_541,9.6,59,89.6
552,Student_552,8.7,80,68.3
555,Student_555,8.9,86,47.6
569,Student_569,9.1,51,52.8
572,Student_572,8.1,85,79.2
575,Student_575,8.8,91,86.0
576,Student_576,9.5,100,87.3
578,Student_578,9.3,61,55.6
582,Student_582,9.8,89,46.7
595,Student_595,9.1,63,91.5
612,Student_612,8.2,74,70.3
615,Student_615,8.9,84,75.9
616,Student_616,9.3,86,57.8
619,Student_619,8.3,89,70.3
632,Student_632,9.1,78,70.3
646,Student_646,9.0,92,59.0
649,Student_649,8.1,86,76.1
662,Student_662,9.9,63,97.0
672,Student_672,9.1,86,48.4
676,Student_676,9.8,100,68.9
679,Student_679,9.7,91,56.8
680,Student_680,8.8,69,52.4
681,Student_681,8.4,99,71.0
685,Student_685,9.4,74,42.2
706,Student_706,9.9,57,65.3
708,Student_708,8.3,81,94.5
716,Student_716,9.4,75,78.2
717,Student_717,8.5,92,43.1
718,Student_718,9.7,59,55.5
721,Student_721,9.4,67,81.2
726,Student_726,8.6,89,47.3
728,Student_728,8.2,61,85.1
732,Student_732,8.3,95,96.5
736,Student_736,8.9,68,75.6
738,Student_738,8.3,65,78.2
746,Student_746,9.1,99,72.0
749,Student_749,9.2,82,65.3
752,Student_752,9.5,97,74.6
756,Student_756,8.1,80,60.6
759,Student_759,9.0,53,90.7
760,Student_760,8.1,83,81.5
768,Student_768,8.9,67,89.3
770,Student_770,8.4,90,95.0
772,Student_772,8.6,68,59.1
775,Student_775,8.2,50,76.1
786,Student_786,9.2,68,78.7
790,Student_790,9.5,98,64.6
796,Student_796,8.8,75,99.3
797,Student_797,9.4,60,67.2
800,Student_800,9.3,95,69.1
807,Student_807,9.4,70,63.3
808,Student_808,9.3,75,49.6
811,Student_811,9.9,51,67.5
812,Student_812,8.6,55,57.4
814,Student_814,9.3,78,47.0
815,Student_815,8.8,75,97.4
821,Student_821,8.2,86,57.3
826,Student_826,9.3,92,72.5
837,Student_837,9.2,92,60.5
844,Student_844,9.6,100,66.6
848,Student_848,10.0,62,99.6
854,Student_854,9.1,97,63.7
869,Student_869,8.8,62,92.6
870,Student_870,9.5,53,96.6
885,Student_885,8.2,91,91.9
892,Student_892,8.7,94,52.0
893,Student_893,8.5,91,46.6
898,Student_898,9.1,71,43.7
906,Student_906,9.0,91,70.3
907,Student_907,8.4,57,83.4
918,Student_918,9.5,85,80.6
921,Student_921,8.8,74,40.9
923,Student_923,9.1,68,70.3
924,Student_924,8.2,85,84.4
932,Student_932,8.5,93,45.3
933,Student_933,9.9,83,69.3
938,Student_938,9.2,97,60.9
944,Student_944,8.5,81,71.4
948,Student_948,9.1,63,87.7
949,Student_949,8.9,62,82.4
954,Student_954,9.2,70,53.9
972,Student_972,9.4,94,70.3
990,Student_990,8.4,54,84.9
991,Student_991,8.2,93,59.1
997,Student_997,9.3,57,43.8
999,Student_999,9.6,52,40.2
