ID,Name,StudyHours,Attendance,Marks
3,Student_3,7.6,65,80.2
4,Student_4,6.4,73,99.6
5,Student_5,2.4,68,79.7
7,Student_7,1.5,80,83.8
11,Student_11,1.2,86,97.5
18,Student_18,5.7,61,85.4
20,Student_20,3.6,75,79.9
21,Student_21,6.5,90,87.7
22,Student_22,2.3,94,95.6
26,Student_26,8.1,59,99.5
27,Student_27,2.8,65,95.6
29,Student_29,6.3,66,90.5
31,Student_31,6.5,75,77.4
33,Student_33,1.6,71,85.3
35,Student_35,9.7,63,89.6
36,Student_36,8.3,64,86.9
37,Student_37,3.7,56,82.5
43,Student_43,1.3,72,96.2
48,Student_48,5.7,88,76.0
50,Student_50,2.7,67,95.2
52,Student_52,8.0,88,99.5
53,Student_53,9.5,66,91.1
55,Student_55,6.4,80,95.8
57,Student_57,1.8,84,89.0
59,Student_59,1.4,94,92.7
60,Student_60,3.9,83,92.1
61,Student_61,4.5,52,88.4
62,Student_62,3.4,86,87.4
67,Student_67,2.3,93,81.7
69,Student_69,1.7,64,98.5
70,Student_70,9.9,98,78.5
71,Student_71,8.0,53,89.3
73,Student_73,1.0,71,91.7
74,Student_74,8.3,74,95.4
76,Student_76,7.6,67,76.4
77,Student_77,7.9,82,85.9
86,Student_86,3.9,79,97.8
88,Student_88,6.7,62,97.9
94,Student_94,6.1,95,78.4
96,Student_96,5.4,98,77.2
97,Student_97,5.7,78,79.0
100,Student_100,2.0,93,86.8
103,Student_103,3.8,79,99.7
105,Student_105,9.2,88,81.7
106,Student_106,3.2,69,99.0
112,Student_112,2.5,94,81.5
115,Student_115,6.7,99,99.8
116,Student_116,8.8,53,88.8
117,Student_117,8.2,67,76.9
119,Student_119,9.0,74,77.4
123,Student_123,3.9,64,93.2
128,Student_128,8.7,53,89.7
129,Student_129,1.1,61,84.0
130,Student_130,5.6,86,86.2
136,Student_136,3.9,73,85.6
142,Student_142,3.3,53,98.6
143,Student_143,5.5,57,88.1
144,Student_144,3.7,69,97.6
149,Student_149,1.5,59,90.7
154,Student_154,5.4,98,84.2
159,Student_159,3.1,96,87.1
160,Student_160,7.6,72,93.5
161,Student_161,4.3,98,97.3
162,Student_162,6.7,58,87.2
164,Student_164,5.8,69,81.3
167,Student_167,3.9,84,90.5
169,Student_169,1.4,67,94.1
171,Student_171,7.1,73,78.2
172,Student_172,1.1,52,79.6
173,Student_173,5.6,81,93.7
174,Student_174,3.0,84,78.2
179,Student_179,9.4,58,84.2
181,Student_181,4.1,63,80.8
184,Student_184,8.9,60,83.0
188,Student_188,6.0,78,97.4
189,Student_189,5.8,58,84.3
193,Student_193,9.1,61,86.5
194,Student_194,6.7,91,79.7
199,Student_199,9.0,54,85.9
203,Student_203,2.5,64,98.1
205,Student_205,6.5,57,86.2
206,Student_206,1.1,54,77.5
210,Student_210,2.4,55,76.9
211,Student_211,5.9,86,86.5
212,Student_212,7.2,97,78.6
215,Student_215,7.4,54,98.1
216,Student_216,3.1,62,87.9
219,Student_219,6.8,89,76.1
221,Student_221,6.9,81,84.9
222,Student_222,6.1,78,88.7
223,Student_223,1.8,100,79.4
226,Student_226,3.2,83,95.7
231,Student_231,8.2,82,76.8
232,Student_232,5.5,55,96.6
236,Student_236,7.5,89,93.2
237,Student_237,3.5,77,78.7
239,Student_239,6.8,97,89.0
240,Student_240,2.6,90,91.7
241,Student_241,9.5,62,90.8
242,Student_242,9.6,92,95.1
244,Student_244,4.3,74,85.3
246,Student_246,9.4,85,90.5
247,Student_247,4.9,76,83.7
248,Student_248,9.7,87,86.6
249,Student_249,9.7,56,79.4
252,Student_252,4.5,94,99.1
253,Student_253,8.7,100,96.2
257,Student_257,9.4,59,83.6
258,Student_258,7.3,81,89.1
261,Student_261,6.5,88,90.4
262,Student_262,9.9,80,84.0
264,Student_264,5.7,85,75.4
268,Student_268,7.3,78,81.3
269,Student_269,4.2,61,92.4
270,Student_270,3.6,88,78.2
271,Student_271,8.3,51,85.7
276,Student_276,5.5,98,83.6
277,Student_277,8.2,90,99.5
280,Student_280,8.2,80,88.0
283,Student_283,4.4,94,84.0
284,Student_284,1.8,84,77.0
287,Student_287,5.2,68,87.0
290,Student_290,6.3,59,85.7
292,Student_292,1.3,81,84.7
294,Student_294,4.2,77,97.5
299,Student_299,6.6,71,92.6
300,Student_300,1.8,53,99.8
303,Student_303,5.9,85,83.3
304,Student_304,6.7,99,93.2
305,Student_305,7.5,53,75.6
308,Student_308,3.9,61,81.7
310,Student_310,3.4,66,77.2
312,Student_312,1.7,50,87.7
314,Student_314,9.7,75,75.3
316,Student_316,7.3,99,78.5
321,Student_321,5.9,85,76.2
322,Student_322,7.4,84,80.6
323,Student_323,6.9,61,88.3
325,Student_325,9.6,78,89.5
330,Student_330,3.2,64,87.1
331,Student_331,4.2,81,82.5
332,Student_332,7.8,100,87.3
340,Student_340,1.9,53,75.9
341,Student_341,5.4,66,84.1
342,Student_342,5.3,84,99.9
343,Student_343,2.6,62,96.0
344,Student_344,4.9,90,78.6
346,Student_346,6.5,64,78.2
347,Student_347,6.7,78,87.1
350,Student_350,6.6,81,90.4
353,Student_353,6.9,63,75.3
359,Student_359,9.5,66,89.9
363,Student_363,5.1,70,96.4
366,Student_366,4.5,86,92.4
367,Student_367,9.7,69,90.5
369,Student_369,2.8,68,88.2
374,Student_374,7.1,64,83.7
377,Student_377,8.6,98,83.8
378,Student_378,1.2,74,85.9
380,Student_380,3.5,61,76.6
382,Student_382,7.3,64,85.1
383,Student_383,6.7,93,79.4
384,Student_384,8.9,65,97.4
390,Student_390,8.3,78,94.4
393,Student_393,4.3,76,85.6
395,Student_395,4.1,99,86.6
400,Student_400,7.8,73,94.4
405,Student_405,3.9,74,94.0
407,Student_407,4.5,63,79.8
408,Student_408,1.1,56,97.8
410,Student_410,1.8,93,96.2
414,Student_414,6.2,87,83.8
415,Student_415,6.7,97,98.9
417,Student_417,3.6,51,79.3
422,Student_422,8.1,66,76.5
432,Student_432,7.9,81,91.6
433,Student_433,6.6,60,83.4
435,Student_435,1.8,74,82.5
441,Student_441,1.8,71,96.7
442,Student_442,9.9,100,91.0
443,Student_443,4.4,73,80.1
446,Student_446,9.5,61,79.1
450,Student_450,1.8,65,88.4
453,Student_453,4.8,69,87.2
458,Student_458,5.2,99,85.4
461,Student_461,2.1,82,92.7
462,Student_462,6.8,82,92.8
463,Student_463,7.7,90,92.2
466,Student_466,4.4,82,99.1
467,Student_467,3.6,62,86.3
475,Student_475,5.7,95,79.4
476,Student_476,9.9,99,89.3
478,Student_478,6.0,83,86.5
479,Student_479,9.7,91,97.9
483,Student_483,5.1,60,87.6
485,Student_485,6.3,55,78.1
486,Student_486,9.1,58,87.9
488,Student_488,3.5,58,94.9
491,Student_491,5.1,81,81.8
492,Student_492,6.6,90,87.6
494,Student_494,2.7,61,91.4
495,Student_495,5.2,57,94.4
497,Student_497,6.3,99,99.0
501,Student_501,7.3,56,93.6
502,Student_502,5.8,60,79.3
505,Student_505,7.2,53,76.9
507,Student_507,9.2,71,92.9
508,Student_508,8.4,75,88.2
510,Student_510,7.5,90,98.0
512,Student_512,4.8,63,99.0
513,Student_513,9.4,60,80.1
514,Student_514,8.8,67,78.1
516,Student_516,1.2,72,92.9
522,Student_522,4.4,68,83.2
525,Student_525,8.5,94,83.9
527,Student_527,4.7,78,91.5
528,Student_528,3.5,81,89.1
530,Student_530,8.8,93,82.6
533,Student_533,10.0,67,89.3
537,Student_537,8.6,81,89.7
540,Student_540,2.2,77,82.7
541,Student_541,9.6,59,89.6
547,Student_547,2.0,56,84.9
548,Student_548,7.0,61,79.1
549,Student_549,5.7,98,77.3
551,Student_551,5.7,70,90.5
553,Student_553,6.0,73,98.7
554,Student_554,6.0,69,78.0
556,Student_556,4.6,53,80.6
558,Student_558,1.3,93,81.2
561,Student_561,7.3,99,91.3
563,Student_563,2.2,100,90.2
565,Student_565,4.2,90,78.6
566,Student_566,6.3,85,81.6
572,Student_572,8.1,85,79.2
573,Student_573,4.6,55,96.3
574,Student_574,6.6,88,92.3
575,Student_575,8.8,91,86.0
576,Student_576,9.5,100,87.3
579,Student_579,5.4,52,94.4
580,Student_580,3.3,94,80.2
585,Student_585,6.7,82,91.9
588,Student_588,2.2,57,98.6
592,Student_592,6.8,72,84.4
593,Student_593,2.6,91,95.1
595,Student_595,9.1,63,91.5
597,Student_597,7.0,51,94.6
598,Student_598,2.6,86,85.2
599,Student_599,2.7,54,88.3
601,Student_601,2.5,94,97.8
602,Student_602,3.5,90,83.6
604,Student_604,1.8,63,89.8
606,Student_606,5.1,74,92.4
608,Student_608,4.3,51,82.2
615,Student_615,8.9,84,75.9
618,Student_618,3.5,50,84.6
620,Student_620,7.7,61,94.2
621,Student_621,2.7,85,91.1
622,Student_622,2.9,94,80.1
623,Student_623,4.3,72,75.6
628,Student_628,7.7,52,87.7
630,Student_630,3.3,65,75.0
631,Student_631,7.4,59,99.7
635,Student_635,2.0,79,89.9
636,Student_636,5.0,90,75.9
639,Student_639,3.4,69,94.6
640,Student_640,4.4,57,80.2
641,Student_641,1.2,92,89.8
642,Student_642,3.9,61,92.7
648,Student_648,7.1,96,86.4
649,Student_649,8.1,86,76.1
650,Student_650,5.5,61,93.6
652,Student_652,5.8,98,76.4
653,Student_653,6.3,98,77.9
654,Student_654,7.7,93,75.5
655,Student_655,4.9,77,82.2
661,Student_661,4.2,99,79.1
662,Student_662,9.9,63,97.0
663,Student_663,6.5,51,76.0
664,Student_664,3.1,58,84.6
666,Student_666,2.4,69,78.0
678,Student_678,4.6,61,76.6
688,Student_688,3.5,88,88.2
692,Student_692,4.8,99,95.9
695,Student_695,2.0,87,77.0
699,Student_699,2.4,65,92.5
701,Student_701,5.8,91,82.1
702,Student_702,1.5,57,99.6
708,Student_708,8.3,81,94.5
709,Student_709,3.3,87,82.8
710,Student_710,7.1,54,76.5
712,Student_712,6.4,71,89.4
713,Student_713,5.2,96,97.3
714,Student_714,4.7,83,89.3
716,Student_716,9.4,75,78.2
720,Student_720,7.6,99,76.2
721,Student_721,9.4,67,81.2
728,Student_728,8.2,61,85.1
732,Student_732,8.3,95,96.5
733,Student_733,7.0,53,80.1
734,Student_734,5.7,82,80.7
736,Student_736,8.9,68,75.6
738,Student_738,8.3,65,78.2
739,Student_739,5.0,63,94.8
740,Student_740,4.4,97,76.8
741,Student_741,5.2,54,92.4
742,Student_742,3.7,90,83.4
744,Student_744,5.5,77,94.1
757,Student_757,6.6,90,83.8
758,Student_758,5.8,60,79.1
759,Student_759,9.0,53,90.7
760,Student_760,8.1,83,81.5
762,Student_762,3.8,95,80.4
765,Student_765,1.3,68,87.3
767,Student_767,7.9,83,87.9
768,Student_768,8.9,67,89.3
769,Student_769,4.1,62,91.5
770,Student_770,8.4,90,95.0
775,Student_775,8.2,50,76.1
