ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
1,Student_1,4.4,96,59.5,D,Pass,59.43
2,Student_2,9.6,61,60.0,C,Pass,50.22
3,Student_3,7.6,65,80.2,B,Pass,61.120000000000005
4,Student_4,6.4,73,99.6,A,Pass,72.97999999999999
5,Student_5,2.4,68,79.7,B,Pass,60.73
6,Student_6,2.4,57,73.5,C,Pass,54.32999999999999
7,Student_7,1.5,80,83.8,B,Pass,66.2
8,Student_8,8.8,70,67.9,C,Pass,56.71
9,Student_9,6.4,66,43.6,D,Pass,42.88
10,Student_10,7.4,72,73.7,C,Pass,59.93
11,Student_11,1.2,86,97.5,A,Pass,74.78999999999999
12,Student_12,9.7,65,50.5,D,Pass,46.69
13,Student_13,8.5,55,70.3,C,Pass,53.35
14,Student_14,2.9,57,52.1,D,Pass,43.73
15,Student_15,2.6,74,72.1,C,Pass,58.77
16,Student_16,2.7,67,45.8,D,Pass,43.54
17,Student_17,3.7,74,67.0,C,Pass,56.440000000000005
18,Student_18,5.7,61,85.4,B,Pass,62.14
19,Student_19,4.9,64,60.9,C,Pass,50.629999999999995
20,Student_20,3.6,75,79.9,B,Pass,63.17
21,Student_21,6.5,90,87.7,B,Pass,72.14999999999999
22,Student_22,2.3,94,95.6,A,Pass,76.46
23,Student_23,3.6,75,70.3,C,Pass,58.37
24,Student_24,4.3,96,64.0,C,Pass,61.66
25,Student_25,5.1,81,49.1,D,Pass,49.870000000000005
26,Student_26,8.1,59,99.5,A,Pass,69.07000000000001
27,Student_27,2.8,65,95.6,A,Pass,67.86
28,Student_28,5.6,56,72.4,C,Pass,54.12
29,Student_29,6.3,66,90.5,A,Pass,66.31
30,Student_30,1.4,72,71.3,C,Pass,57.53
31,Student_31,6.5,75,77.4,B,Pass,62.5
32,Student_32,2.5,70,45.3,D,Pass,44.15
33,Student_33,1.6,71,85.3,B,Pass,64.27
34,Student_34,9.5,56,47.7,D,Pass,42.550000000000004
35,Student_35,9.7,63,89.6,B,Pass,65.64
36,Student_36,8.3,64,86.9,B,Pass,64.31
37,Student_37,3.7,56,82.5,B,Pass,58.79
38,Student_38,1.9,58,42.2,D,Pass,38.88
39,Student_39,7.2,100,58.2,D,Pass,60.54
40,Student_40,5.0,97,55.8,D,Pass,58.0
41,Student_41,2.1,57,61.6,C,Pass,48.32
42,Student_42,5.5,99,45.3,D,Pass,53.449999999999996
43,Student_43,1.3,72,96.2,A,Pass,69.96000000000001
44,Student_44,9.2,78,73.2,C,Pass,61.84
45,Student_45,3.3,67,58.3,D,Pass,49.91
46,Student_46,7.0,80,63.8,C,Pass,57.3
47,Student_47,3.8,79,66.8,C,Pass,57.85999999999999
48,Student_48,5.7,88,76.0,B,Pass,65.54
49,Student_49,5.9,84,70.9,C,Pass,61.830000000000005
50,Student_50,2.7,67,95.2,A,Pass,68.24000000000001
51,Student_51,9.7,91,69.8,C,Pass,64.14
52,Student_52,8.0,88,99.5,A,Pass,77.75
53,Student_53,9.5,66,91.1,A,Pass,67.25
54,Student_54,9.1,63,52.5,D,Pass,46.97
55,Student_55,6.4,80,95.8,A,Pass,73.18
56,Student_56,9.3,73,47.0,D,Pass,47.26
57,Student_57,1.8,84,89.0,B,Pass,70.06
58,Student_58,2.8,93,62.8,C,Pass,59.86
59,Student_59,1.4,94,92.7,A,Pass,74.83
60,Student_60,3.9,83,92.1,A,Pass,71.72999999999999
61,Student_61,4.5,52,88.4,B,Pass,60.7
62,Student_62,3.4,86,87.4,B,Pass,70.18
63,Student_63,8.5,92,58.3,D,Pass,58.45
64,Student_64,4.2,89,44.9,D,Pass,49.99
65,Student_65,3.5,75,64.2,C,Pass,55.300000000000004
66,Student_66,5.9,72,50.4,D,Pass,47.98
67,Student_67,2.3,93,81.7,B,Pass,69.21
68,Student_68,8.2,88,60.8,C,Pass,58.44
69,Student_69,1.7,64,98.5,A,Pass,68.79
70,Student_70,9.9,98,78.5,B,Pass,70.63000000000001
71,Student_71,8.0,53,89.3,B,Pass,62.15
72,Student_72,2.8,78,48.0,D,Pass,47.96
73,Student_73,1.0,71,91.7,A,Pass,67.35000000000001
74,Student_74,8.3,74,95.4,A,Pass,71.56
75,Student_75,7.4,62,69.2,C,Pass,54.68
76,Student_76,7.6,67,76.4,B,Pass,59.82
77,Student_77,7.9,82,85.9,B,Pass,69.13
78,Student_78,1.7,65,50.5,D,Pass,45.09
79,Student_79,4.2,94,70.2,C,Pass,64.14
80,Student_80,2.0,91,63.9,C,Pass,59.65
81,Student_81,8.8,93,48.8,D,Pass,54.059999999999995
82,Student_82,6.6,51,62.1,C,Pass,47.67
83,Student_83,4.0,84,70.3,C,Pass,61.14999999999999
84,Student_84,1.6,91,41.5,D,Pass,48.37
85,Student_85,3.8,83,48.1,D,Pass,49.71
86,Student_86,3.9,79,97.8,A,Pass,73.38
87,Student_87,7.6,62,73.0,C,Pass,56.62
88,Student_88,6.7,62,97.9,A,Pass,68.89
89,Student_89,9.0,67,65.9,C,Pass,54.849999999999994
90,Student_90,5.2,81,58.7,D,Pass,54.690000000000005
91,Student_91,2.1,81,70.4,C,Pass,59.92
92,Student_92,7.4,84,66.4,C,Pass,59.88
93,Student_93,7.8,88,46.3,D,Pass,51.11
94,Student_94,6.1,95,78.4,B,Pass,68.92
95,Student_95,7.9,78,53.0,D,Pass,51.48
96,Student_96,5.4,98,77.2,B,Pass,69.08
97,Student_97,5.7,78,79.0,B,Pass,64.03999999999999
98,Student_98,4.8,93,49.1,D,Pass,53.410000000000004
99,Student_99,1.2,65,43.7,D,Pass,41.59
100,Student_100,2.0,93,86.8,B,Pass,71.7
101,Student_101,1.3,96,70.3,C,Pass,64.21
102,Student_102,6.7,59,43.5,D,Pass,40.790000000000006
103,Student_103,3.8,79,99.7,A,Pass,74.31
104,Student_104,5.6,74,43.5,D,Pass,45.07
105,Student_105,9.2,88,81.7,B,Pass,69.09
106,Student_106,3.2,69,99.0,A,Pass,70.84
107,Student_107,4.7,54,54.4,D,Pass,44.339999999999996
108,Student_108,7.8,50,48.5,D,Pass,40.81
109,Student_109,3.1,79,47.3,D,Pass,47.96999999999999
110,Student_110,1.7,98,58.2,D,Pass,58.84
111,Student_111,3.6,52,46.1,D,Pass,39.37
112,Student_112,2.5,94,81.5,B,Pass,69.45
113,Student_113,9.4,63,43.7,D,Pass,42.63
114,Student_114,8.3,79,70.6,C,Pass,60.66
115,Student_115,6.7,99,99.8,A,Pass,80.94
116,Student_116,8.8,53,88.8,B,Pass,62.059999999999995
117,Student_117,8.2,67,76.9,B,Pass,60.19
118,Student_118,2.7,86,58.4,D,Pass,55.54
119,Student_119,9.0,74,77.4,B,Pass,62.7
120,Student_120,5.9,97,71.6,C,Pass,66.08
121,Student_121,8.3,50,65.6,C,Pass,49.459999999999994
122,Student_122,9.1,95,47.8,D,Pass,54.22
123,Student_123,3.9,64,93.2,A,Pass,66.58
124,Student_124,2.0,58,67.0,C,Pass,51.3
125,Student_125,3.1,64,51.7,D,Pass,45.669999999999995
126,Student_126,4.8,98,62.1,C,Pass,61.410000000000004
127,Student_127,8.4,73,64.8,C,Pass,55.98
128,Student_128,8.7,53,89.7,B,Pass,62.49
129,Student_129,1.1,61,84.0,B,Pass,60.519999999999996
130,Student_130,5.6,86,86.2,B,Pass,70.02000000000001
131,Student_131,4.8,86,40.7,D,Pass,47.11000000000001
132,Student_132,3.0,92,65.0,C,Pass,60.699999999999996
133,Student_133,2.1,55,68.9,C,Pass,51.370000000000005
134,Student_134,4.0,88,41.2,D,Pass,47.8
135,Student_135,9.5,95,55.6,D,Pass,58.199999999999996
136,Student_136,3.9,73,85.6,B,Pass,65.47999999999999
137,Student_137,5.7,60,70.3,C,Pass,54.29
138,Student_138,7.3,62,72.1,C,Pass,56.10999999999999
139,Student_139,4.3,83,52.9,D,Pass,52.209999999999994
140,Student_140,9.7,74,40.7,D,Pass,44.489999999999995
141,Student_141,9.7,56,70.3,C,Pass,53.89
142,Student_142,3.3,53,98.6,A,Pass,65.85999999999999
143,Student_143,5.5,57,88.1,B,Pass,62.24999999999999
144,Student_144,3.7,69,97.6,A,Pass,70.24
145,Student_145,3.6,78,69.3,C,Pass,58.769999999999996
146,Student_146,1.3,100,46.6,D,Pass,53.559999999999995
147,Student_147,6.5,94,72.9,C,Pass,65.95
148,Student_148,5.5,95,67.3,C,Pass,63.25
149,Student_149,1.5,59,90.7,A,Pass,63.349999999999994
150,Student_150,3.5,92,45.9,D,Pass,51.25
151,Student_151,9.2,83,69.3,C,Pass,61.39
152,Student_152,3.2,75,49.0,D,Pass,47.64
153,Student_153,2.3,90,59.5,D,Pass,57.21
154,Student_154,5.4,98,84.2,B,Pass,72.58
155,Student_155,9.9,52,68.6,C,Pass,51.879999999999995
156,Student_156,3.2,55,62.6,C,Pass,48.44
157,Student_157,7.0,54,70.3,C,Pass,52.74999999999999
158,Student_158,7.9,54,67.6,C,Pass,51.58
159,Student_159,3.1,96,87.1,B,Pass,72.97
160,Student_160,7.6,72,93.5,A,Pass,69.86999999999999
161,Student_161,4.3,98,97.3,A,Pass,78.91
162,Student_162,6.7,58,87.2,B,Pass,62.34
163,Student_163,6.7,84,58.9,D,Pass,55.99
164,Student_164,5.8,69,81.3,B,Pass,62.50999999999999
165,Student_165,1.8,98,66.3,C,Pass,62.91
166,Student_166,8.5,91,55.3,D,Pass,56.650000000000006
167,Student_167,3.9,84,90.5,A,Pass,71.23
168,Student_168,2.7,99,42.3,D,Pass,51.38999999999999
169,Student_169,1.4,67,94.1,A,Pass,67.42999999999999
170,Student_170,6.3,66,67.7,C,Pass,54.910000000000004
171,Student_171,7.1,73,78.2,B,Pass,62.42
